"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"2012-01-25",57.41,60.64,57.24,60.25,12330400,56.09
"2012-01-26",61.28,61.59,60.12,60.45,7635300,56.27
"2012-01-27",60.35,61.79,59.96,61.51,5832100,57.26
"2012-01-30",61.02,61.79,60.38,61.22,5747600,56.99
"2012-01-31",62.01,62.3,61.02,61.48,6601600,57.23
"2012-02-01",61.68,61.99,60.71,61.12,6307100,56.9
"2012-02-02",61.44,62.5,61.35,62.29,6110700,57.99
"2012-02-03",61.91,62,60.67,61.01,7863800,56.8
"2012-02-06",60.71,61.14,60.35,60.89,4550200,56.68
"2012-02-07",60.85,61.56,60.01,60.86,4805400,56.66
"2012-02-08",60.99,61.45,60.47,60.7,3452700,56.51
"2012-02-09",61.07,61.39,60.47,60.64,3848700,56.45
"2012-02-10",59.82,59.91,59,59.62,4467900,55.5
"2012-02-13",59.96,59.99,58.88,59.41,3307700,55.31
"2012-02-14",59.54,59.55,58.06,58.77,5591900,54.71
"2012-02-15",59.14,60.39,58.97,59.6,5421500,55.48
"2012-02-16",59.67,60.66,58.77,60.43,4517100,56.26
"2012-02-17",60.78,60.94,59.2,59.45,4004500,55.34
"2012-02-21",60.43,61.72,59.76,61.54,6941600,57.29
"2012-02-22",61.58,63.29,61.01,62.78,7221800,58.44
"2012-02-23",62.94,64.43,62.71,63.8,7670100,59.39
"2012-02-24",63.35,64.2,61.57,62.51,7321400,58.19
"2012-02-27",61.79,62.6,61.45,61.52,5767200,57.27
"2012-02-28",61.33,62.15,61.11,62,4832300,57.72
"2012-02-29",62.18,62.43,59.02,59.43,10832100,55.33
"2012-03-01",59.59,60.65,59.4,59.67,6618900,55.55
"2012-03-02",59.31,59.47,58.5,58.96,4505500,54.89
"2012-03-05",58.94,59.03,57.71,57.9,6068000,53.9
"2012-03-06",56.98,57.27,55.81,57.17,8367900,53.22
"2012-03-07",57.11,57.28,56.15,56.68,6565600,52.77
"2012-03-08",57.15,57.24,56.17,56.95,4915200,53.02
"2012-03-09",56.7,57.84,56.11,56.88,5463700,52.95
"2012-03-12",56.7,56.9,55.62,55.75,7370500,51.9
"2012-03-13",55.4,55.75,54.69,54.86,9769400,51.39
"2012-03-14",54.1,54.48,53.32,54.3,14100200,50.87
"2012-03-15",54.4,54.98,53.69,53.84,9902600,50.44
"2012-03-16",53.48,54.09,53.19,53.75,12198000,50.35
"2012-03-19",53.78,54.35,53.5,53.53,4868800,50.15
"2012-03-20",53.08,54,52.5,53.68,8193300,50.29
"2012-03-21",53.8,54.12,53.15,53.17,7848500,49.81
"2012-03-22",52.67,52.85,52.06,52.41,7193600,49.1
