"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"2008-08-15",47.58,49.44,47.58,49.29,862500,42.84
"2008-08-18",49.92,49.92,47.97,48.34,827400,42.02
"2008-08-19",48,48.37,46.94,47.47,908800,41.26
"2008-08-20",47.85,47.85,46.87,47.29,1092900,41.1
"2008-08-21",46.99,47.76,46.44,47.54,1285200,41.32
"2008-08-22",48.29,48.42,47.34,48.11,1322800,41.82
"2008-08-25",47.37,47.88,46.81,46.87,920700,40.74
"2008-08-26",47.31,47.31,46.24,46.82,852300,40.69
"2008-08-27",46.76,47.24,46.43,46.85,1066300,40.72
"2008-08-28",47.63,48.2,47.11,47.86,1112100,41.6
"2008-08-29",47.35,48.11,47.18,47.21,908800,41.03
"2008-09-02",47.77,48.92,46.92,47.14,726300,40.97
"2008-09-03",47.5,47.5,45.9,46.19,1054300,40.15
"2008-09-04",45.73,45.75,43.79,43.79,1180000,38.06
"2008-09-05",43.23,43.85,42.62,43.48,1166000,37.79
"2008-09-08",44.44,45.12,43.37,44.26,1406000,38.47
"2008-09-09",44.37,44.52,41.89,41.89,1829200,36.41
"2008-09-10",42,42.72,41.83,42.09,1768700,36.58
"2008-09-11",41.65,42.39,40.78,42.33,1647300,36.79
"2008-09-12",41.97,42.24,41.23,41.74,1743500,36.28
"2008-09-15",40.7,40.73,39.32,39.41,1410900,34.25
"2008-09-16",38.65,38.97,37.58,38.81,2855200,33.73
"2008-09-17",38.37,38.37,35.98,35.98,3130800,31.27
